model,reasoning,intelligence_index_score,time_per_intelligence_index_task_seconds_score,cost_per_intelligence_index_task_usd_score,median_end_to_end_response_time_seconds_score,artificial_analysis_coding_index_score,artificial_analysis_agentic_index_score,reasoning_score,knowledge_score,research_score,planning_capability_score,instruction_following_score,software_engineering_score,ui_visual_score,agentic_tools_score,finance_score,evidence_capture_score,security_score,data_ml_score,benchmark:SWE-Bench Verified,benchmark:SWE-Bench Pro,benchmark:SWE-Bench Multilingual,benchmark:SWE-Bench Multimodal,benchmark:DeepSWE,benchmark:Terminal-Bench,benchmark:Terminal-Bench Hard,benchmark:Aider Polyglot,benchmark:SciCode,benchmark:SWE-Atlas Codebase QnA,benchmark:SWE-Atlas Test Writing,benchmark:SWE-Atlas Refactoring,benchmark:FrontierCode,benchmark:FrontierSWE,benchmark:NL2Repo,benchmark:Program Bench,benchmark:SWE Marathon,benchmark:LiveCodeBench,benchmark:LiveCodeBench Pro,benchmark:MCP Atlas,benchmark:Artificial Analysis Coding Index,benchmark:Artificial Analysis Coding Agent Index,benchmark:Toolathlon,benchmark:AutomationBench
Claude Fable 5,max,98,,0,49,97,95,,,,,,80,,,,,,,91,100,,,,98,,,,,,,,,,,,,,,,,,0
Claude Opus 4.7,max,83,,29,89,93,78,,,,,,79,,,,,,,,35,,,,65,,,,100,,100,,,,,,,,,,32,,
Claude Opus 4.8,max,88,,35,88,94,83,,,,,,71,,,,,,,31,79,,,,67,,,,,,,,,,,,,,,,,,
Claude Opus 5,low,78,90,87,95,82,70,,,,,,89,,,,,,,100,98,100,,84,,,,,,,,,,,,,,,,,,,
Claude Opus 5,medium,91,78,77,94,94,85,,,,,,94,,,,,,,100,98,100,,84,,,,,,,,100,,,,,,,,,,,
Claude Opus 5,high,97,62,61,87,97,95,,,,,,96,,,,,,,100,98,100,,84,,,,,,,,,,,,,,,,,,,
Claude Opus 5,xhigh,99,45,43,82,98,99,,,,,,97,,,,,,,100,98,100,,84,,,,,,,,,,,,,,,,,,,
Claude Opus 5,max,100,26,26,72,100,100,,,,,,97,,,,,,,100,98,100,,84,,,,,,,,,,,,,,,,,,,100
Claude Sonnet 5,max,84,0,45,0,89,83,,,,,,46,,,,,,,0,68,3,,,80,,,,,,,0,,,,,,,,,,,
GPT-4.1 mini,high,0,,98,98,7,0,,,,,,2,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
GPT-5,high,42,,92,51,35,43,,,,,,52,,,,,,,,29,,,,,,100,,,,,,,,,,,,,,,,
GPT-5.1,high,47,,91,76,54,34,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPT-5.4,xhigh,79,,65,36,89,74,,,,,,42,,,,,,,,61,,,,68,,,,0,0,0,,,,,,,,,,,,
GPT-5.4 mini,xhigh,54,,85,97,65,52,,,,,,40,,24,,20,,,,52,,,,32,,,,,,,,,,,,,,6,,,33,
GPT-5.4 nano,xhigh,52,,96,98,65,49,,,,,,27,,0,,0,,,,48,,,,0,,,,,,,,,,,,,,0,,,0,
GPT-5.5,low,61,,92,97,72,52,,,,,,60,,78,,80,,,,60,,,,75,,,,11,100,12,,,,,,,,70,,,89,
GPT-5.5,medium,76,,84,94,89,65,,,,,,65,,76,,80,,,,0,,,,69,,,,95,100,12,,,,,,,,70,,0,89,
