model,reasoning,intelligence_index,time_per_intelligence_index_task_seconds,cost_per_intelligence_index_task_usd,median_end_to_end_response_time_seconds,artificial_analysis_coding_index,artificial_analysis_agentic_index,benchmark:SWE-Bench Verified,benchmark:SWE-Bench Pro,benchmark:SWE-Bench Multilingual,benchmark:SWE-Bench Multimodal,benchmark:DeepSWE,benchmark:Terminal-Bench,benchmark:Terminal-Bench Hard,benchmark:Aider Polyglot,benchmark:SciCode,benchmark:SWE-Atlas Codebase QnA,benchmark:SWE-Atlas Test Writing,benchmark:SWE-Atlas Refactoring,benchmark:FrontierCode,benchmark:FrontierSWE,benchmark:NL2Repo,benchmark:Program Bench,benchmark:SWE Marathon,benchmark:LiveCodeBench,benchmark:LiveCodeBench Pro,benchmark:MCP Atlas,benchmark:Artificial Analysis Coding Index,benchmark:Artificial Analysis Coding Agent Index,benchmark:Toolathlon,benchmark:AutomationBench
Claude Fable 5,low,,,,,,,95.0,80.3,,,,88.0,,,,,,,,,,,,,,,,,,17.4
Claude Fable 5,medium,,,,,,,95.0,80.3,,,,88.0,,,,,,,,,,,,,,,,,,17.4
Claude Fable 5,high,,,,,,,95.0,80.3,,,,88.0,,,,,,,29.3,,,,,,,,,,,17.4
Claude Fable 5,xhigh,,,,,,,95.0,80.3,,,,88.0,,,,,,,,,,,,,,,,,,17.4
Claude Fable 5,max,62.1,,3.14,105,76.5,56.6,95.0,80.3,,,,88.0,,,,,,,,,,,,,,,,,,17.4
Claude Haiku 4.5 [claude-haiku-4-5-20251001],default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Claude Haiku 4.5 (latest),default,,,,,,,,39.5,,,,,,,,,,,,,,,,,,,,,,
Claude Opus 4.5 [claude-opus-4-5-20251101],low,,,,,,,,45.9,,,,,,,,,,,,,,,,,,,,,,
Claude Opus 4.5 [claude-opus-4-5-20251101],medium,,,,,,,,45.9,,,,,,,,,,,,,,,,,,,,,,
Claude Opus 4.5 [claude-opus-4-5-20251101],high,,,,,,,,45.9,,,,,,,,,,,,,,,,,,,,,,
Claude Opus 4.5,low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Claude Opus 4.5,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Claude Opus 4.5,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Claude Opus 4.5,default,41.9,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,
Claude Opus 4.6,low,,,,,,,,51.9,,,,,,,,33.3,36.7,35.6,,,,,,,,,,,,
