model,reasoning,intelligence_index_score,time_per_intelligence_index_task_seconds_score,cost_per_intelligence_index_task_usd_score,median_end_to_end_response_time_seconds_score,artificial_analysis_coding_index_score,artificial_analysis_agentic_index_score,reasoning_score,knowledge_score,research_score,planning_capability_score,instruction_following_score,software_engineering_score,ui_visual_score,agentic_tools_score,finance_score,evidence_capture_score,security_score,data_ml_score,benchmark:AA-Briefcase,benchmark:AIME,benchmark:AIME 2026,benchmark:ARC-AGI-1,benchmark:ARC-AGI-2,benchmark:ARC-AGI-3,benchmark:Agents' Last Exam,benchmark:Aider Polyglot,benchmark:Artificial Analysis Coding Agent Index,benchmark:Artificial Analysis Coding Index,benchmark:Artificial Analysis Intelligence Index,benchmark:AutomationBench,benchmark:BabyVision,benchmark:BrowseComp,benchmark:CTI-REALM,benchmark:CharXiv Reasoning,benchmark:Claw-eval,benchmark:ClawEval,benchmark:CritPt,benchmark:CyberGym,benchmark:DSBench-FullStack,benchmark:DSBench-Hard,benchmark:DeepSWE,benchmark:DeepSearch QA,benchmark:DeepSearchQA,benchmark:FORTE,benchmark:Finance Agent,benchmark:FinanceAgent,benchmark:Frontier-Bench,benchmark:FrontierCode,benchmark:FrontierMath,benchmark:FrontierSWE,benchmark:GDM-MRCR,benchmark:GDPval,benchmark:GDPval-AA,benchmark:GPQA,benchmark:GPQA Diamond,benchmark:GeneBench,benchmark:Graphwalks,benchmark:HMMT,benchmark:HealthBench Professional,benchmark:Humanity's Last Exam,benchmark:Humanity’s Last Exam,benchmark:IFBench,benchmark:IFEval,benchmark:IMOAnswerBench,benchmark:JobBench,benchmark:Kimi Claw 24/7 Bench,benchmark:Kimi Code Bench,benchmark:LMArena Text-to-Video Arena,benchmark:LiveCodeBench,benchmark:LiveCodeBench Pro,benchmark:Long Context Reasoning,benchmark:MCP Atlas,benchmark:MCP Mark Verified,benchmark:MLE-Bench,benchmark:MLS Bench Lite,benchmark:MLS-Bench-Lite,benchmark:MMLU,benchmark:MMLU-Pro,benchmark:MMMU Pro,benchmark:MRCRv2,benchmark:NL2Repo,benchmark:OSWorld,benchmark:OSWorld-Verified,benchmark:OmniDocBench,benchmark:OpenAI MRCR,benchmark:PostTrainBench,benchmark:Program Bench,benchmark:SWE Bench Pro,benchmark:SWE Marathon,benchmark:SWE-Atlas Codebase QnA,benchmark:SWE-Atlas Refactoring,benchmark:SWE-Atlas Test Writing,benchmark:SWE-Bench Multilingual,benchmark:SWE-Bench Multimodal,benchmark:SWE-Bench Pro,benchmark:SWE-Bench Verified,benchmark:SciCode,benchmark:SpreadsheetBench,benchmark:Terminal Bench 2.0,benchmark:Terminal Bench 2.1,benchmark:Terminal-Bench,benchmark:Terminal-Bench 2.1,benchmark:Terminal-Bench Hard,benchmark:Tool-Decathlon,benchmark:Toolathlon,benchmark:Toolathlon Verified,benchmark:Toolathlon-Verified,benchmark:WideSearch,benchmark:ZeroBench,benchmark:τ3 Banking,benchmark:τ²-Bench Telecom,benchmark:τ³-Telecom
Claude Opus 4.7,max,86,,29,86,94,78,,,,,,82,,,,,,,,,,,,,,,83,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,,,,53,,,,,,65,,,,,,,,,,,
Gemini 2.5 Pro,high,35,,93,88,40,12,,,,,,51,,,,,,,,,,,,,,100,9,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,54,,,,,,,,,
GPT-4.1 mini,high,16,,98,97,22,3,,,,,,19,,,,,,,,,,,,,,32,2,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPT-4.1 nano,high,7,,99,99,10,2,,,,,,4,,,,,,,,,,,,,,0,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPT-5.1,high,55,,90,70,61,36,,,,,,49,,,,,,,,,,,,,,,27,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPT-5.4,xhigh,83,,65,29,90,75,,,,,,79,,,,,,,,,,,,,,,55,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,80,,,,,,,,,,,,,,,,,,,,
GPT-5.4 mini,xhigh,61,,84,91,70,53,,,,,,43,,37,,38,,,,,,,,,,,39,70,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,,,,,,,,,,,,6,,,,,,,,,,,75,,,,,,,,,,,,66,,,,,,32,,,,33,,,,,,92,
GPT-5.4 nano,xhigh,59,,95,96,70,50,,,,,,31,,0,,0,,,,,,,,,,,37,70,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,,63,,,,,,0,,,,0,,,,,,91,
GPT-5 mini,high,35,,99,51,16,33,,,,,,25,,,,,,,,,,,,,,,24,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MiniMax-M2.7,high,58,,97,75,66,43,,,,,,46,,,,,,,,,,,,,,,32,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,43,,,,,11,,,,,,,,,,,
Mistral Large 3,high,18,,97,94,22,9,,,,,,12,,,,,,,,,,,,,,,7,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,0,,,,,,,,,
Claude Fable 5,max,98,,0,35,98,96,,,,,,81,,,,,,,,,,,,,,,71,98,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,96,,,,,98,,,,,,,,,,,
Claude Opus 4.8,max,90,,35,88,95,83,,,,,,81,,,,,,,,,,,,,,,62,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,74,,,,,67,,,,,,,,,,,
Claude Sonnet 5,max,86,0,45,0,91,84,,,,,,57,,,,,,,,,,,,,,,62,91,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,77,62,,,,,80,,,,,,,,,,,
DeepSeek V4 Flash 0731,max,80,,99,90,88,82,,,,,,73,,,,,,,,,,,,,0,,60,88,,57,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,86,,,,,,,,,,,
DeepSeek V4 Pro,high,66,,99,81,74,59,,,,,,50,,,,,,,,,,,,,,,62,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,,,,,17,46,,,,,43,,,,,,,,,,,
DeepSeek V4 Pro,max,69,,98,64,75,64,,,,,,70,,,,,,,,,,,,,,,47,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gemini 3.1 Flash-Lite,high,35,,99,97,41,11,,,,,,26,,,,,,,,,,,,,,,8,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gemini 3.1 Pro Preview,high,73,,89,83,87,39,62,29,,,,41,63,74,,68,,,,,,,27,,,,54,87,,,,,,46,,,,,,,,,,,,,,,,,,,70,,97,,,,,17,,,,,,,,,,,,80,,,,,,,40,,,,85,,,,,,,1,0,0,,,65,,,,,,56,,,,,,,,,,,
Gemini 3.5 Flash,high,81,,78,85,89,67,,50,,,,81,95,88,,96,,,,,,,0,,,,49,89,,,,,,52,,,,,,,,,,,,,,,,,,,89,,,,,,,0,,,,,,,,,,,,100,,,,,,,100,,,,90,,,,,,,,,,,,66,,,,,,70,,,,93,,,,,,,
GLM-5.2,max,82,,90,89,87,77,,,,,,82,,,,,,,,,,,,,,,57,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPT-5.5,low,68,,92,96,77,53,,,,,,77,,80,,80,,,,,,,,,,,39,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,,,,,,,,,,,,,,,,74,100,,,,,,,,,,,,,89,,,,,,,
GPT-5.5,medium,80,,84,94,91,66,,,,,,76,,76,,80,,,,,,,,,,,75,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,,,,,,,,,,,,,,,95,74,100,,,28,,,,,,69,,,,89,,,,,,,
GPT-5.5,high,85,,75,84,91,77,54,52,,,,73,72,84,,76,,,,,,,70,,,,57,91,,,,56,,,,,,,,,,,,,,,,,0,,,100,,,92,,,,,49,,,,,,,,,,,,70,,,,,,,54,,,,90,,,,,,,0,74,100,,,71,,,,,,86,,,,89,,,,,,100,
GPT-5.5,xhigh,88,,63,52,95,80,,,,,,81,,83,,80,,,,,,,,,,,82,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,,,,,,,,,,,,,,,99,74,100,,,34,,,,,,89,,,,89,,,,,,,
